"saat","tarix1","hefte","kwh"
"7AM",2014-03-21,"пятница","40.85kwh"
"9AM",2014-01-15,"среда","0.534kwh"
"6AM",2014-10-04,"суббота","0.432kwh"
"12PM",2014-11-19,"среда","40.23kwh"
"2AM",2014-07-15,"вторник","0.456kwh"
"7PM",2014-04-19,"суббота","0.481kwh"
"2AM",2014-09-12,"пятница","0.153kwh"
"11PM",2014-06-22,"воскресенье","0.801kwh"
"8PM",2014-01-25,"суббота","42.88kwh"
"7AM",2014-02-14,"пятница","1.134kwh"
"1AM",2014-01-10,"пятница","0.424kwh"
"2PM",2014-11-16,"воскресенье","0.378kwh"
"11PM",2014-07-24,"четверг","40.96kwh"
"8PM",2014-05-31,"суббота","41.44kwh"
"9PM",2014-11-14,"пятница","0.148kwh"
"8AM",2014-09-26,"пятница","0.277kwh"
"5PM",2014-01-16,"четверг","42.73kwh"
"5PM",2014-04-23,"среда","0.406kwh"
"4PM",2014-04-29,"вторник","0.106kwh"
"9PM",2014-05-27,"вторник","0.485kwh"
"9PM",2014-10-17,"пятница","0.271kwh"
"12AM",2014-01-30,"четверг","0.696kwh"
"10AM",2014-03-24,"понедельник","0.294kwh"
"9AM",2014-11-27,"четверг","0.117kwh"
"12PM",2014-01-17,"пятница","41.10kwh"
"11PM",2014-04-19,"суббота","0.273kwh"
"8PM",2014-02-07,"пятница","1.997kwh"
"10AM",2014-06-07,"суббота","1.188kwh"
"6PM",2014-02-27,"четверг","1.932kwh"
"5PM",2014-12-26,"пятница","1.187kwh"
"6AM",2014-04-15,"вторник","0.353kwh"
"11PM",2014-03-02,"воскресенье","0.384kwh"
"10AM",2014-04-29,"вторник","0.142kwh"
"8AM",2014-10-04,"суббота","0.819kwh"
"5PM",2014-07-02,"среда","42.87kwh"
"4PM",2014-08-27,"среда","0.494kwh"
"6PM",2014-02-14,"пятница","1.747kwh"
"8AM",2014-06-27,"пятница","0.785kwh"
"4PM",2014-02-28,"пятница","0.538kwh"
"7AM",2014-09-19,"пятница","40.58kwh"
"12PM",2014-10-23,"четверг","0.282kwh"
"2PM",2014-03-22,"суббота","0.576kwh"
"5PM",2014-03-07,"пятница","0.998kwh"
"12PM",2014-04-16,"среда","40.15kwh"
"2AM",2014-11-23,"воскресенье","40.12kwh"
"3AM",2014-02-13,"четверг","0.288kwh"
"2PM",2014-01-23,"четверг","0.808kwh"
"1PM",2014-06-19,"четверг","0.835kwh"
"10PM",2014-01-31,"пятница","1.442kwh"
"8PM",2014-08-15,"пятница","2.131kwh"
"3PM",2014-10-04,"суббота","0.481kwh"
"2PM",2014-12-24,"среда","0.484kwh"
"8PM",2014-10-27,"понедельник","0.883kwh"
"6PM",2014-05-17,"суббота","1.224kwh"
"12PM",2014-02-21,"пятница","0.498kwh"
"9AM",2014-05-26,"понедельник","0.204kwh"
"4AM",2014-11-20,"четверг","40.08kwh"
"6PM",2014-07-09,"среда","3.058kwh"
"4AM",2014-12-26,"пятница","0.191kwh"
"3AM",2014-10-29,"среда","0.142kwh"
"9PM",2014-08-13,"среда","40.85kwh"
"12AM",2014-02-13,"четверг","40.36kwh"
"9PM",2014-02-03,"понедельник","0.828kwh"
"9AM",2014-01-30,"четверг","0.552kwh"
"4PM",2014-04-23,"среда","0.132kwh"
"2PM",2014-03-14,"пятница","40.32kwh"
"7AM",2014-01-17,"пятница","1.494kwh"
"5AM",2014-09-28,"воскресенье","0.242kwh"
"2PM",2014-04-14,"понедельник","0.102kwh"
"1AM",2014-09-05,"пятница","0.136kwh"
"10AM",2014-05-29,"четверг","0.298kwh"
"7PM",2014-10-01,"среда","1.026kwh"
"5PM",2014-03-08,"суббота","0.734kwh"
"9AM",2014-09-17,"среда","0.214kwh"
"8AM",2014-02-17,"понедельник","0.542kwh"
"9PM",2014-05-11,"воскресенье","0.518kwh"
"7PM",2014-05-21,"среда","1.598kwh"
"1PM",2014-04-18,"пятница","0.103kwh"
"8PM",2014-03-19,"среда","1.357kwh"
"9PM",2014-08-21,"четверг","0.605kwh"
"1PM",2014-07-15,"вторник","0.941kwh"
"6AM",2014-04-16,"среда","0.324kwh"
"9PM",2014-01-26,"воскресенье","1.116kwh"
"8PM",2014-06-16,"понедельник","2.592kwh"
"12PM",2014-06-29,"воскресенье","1.123kwh"
"1AM",2014-10-11,"суббота","0.164kwh"
"1PM",2014-05-27,"вторник","0.342kwh"
"8PM",2014-04-12,"суббота","0.572kwh"
"3AM",2014-06-19,"четверг","0.421kwh"
"7AM",2014-10-21,"вторник","0.486kwh"
"7PM",2014-08-28,"четверг","2.419kwh"
"4PM",2014-04-11,"пятница","0.132kwh"
"11AM",2014-10-07,"вторник","0.345kwh"
"1AM",2014-03-05,"среда","0.144kwh"
"5AM",2014-07-24,"четверг","2.482kwh"
"7AM",2014-03-23,"воскресенье","0.816kwh"
"2AM",2014-09-11,"четверг","0.158kwh"
"1AM",2014-08-22,"пятница","0.233kwh"
"12PM",2014-12-04,"четверг","0.616kwh"
"5AM",2014-05-14,"среда","1.012kwh"
"6PM",2014-07-18,"пятница","3.461kwh"
"10PM",2014-03-08,"суббота","0.336kwh"
"4PM",2014-04-28,"понедельник","0.108kwh"
"12PM",2014-05-25,"воскресенье","0.446kwh"
"6PM",2014-10-22,"среда","1.008kwh"
"4PM",2014-02-18,"вторник","0.494kwh"
"10PM",2014-07-18,"пятница","41.63kwh"
"1PM",2014-09-30,"вторник","0.302kwh"
"3PM",2014-12-13,"суббота","41.04kwh"
"2AM",2014-10-10,"пятница","0.138kwh"
"2AM",2014-06-26,"четверг","0.403kwh"
"9AM",2014-04-28,"понедельник","40.10kwh"
"10AM",2014-10-23,"четверг","0.206kwh"
"11AM",2014-10-24,"пятница","0.315kwh"
"12AM",2014-08-28,"четверг","0.299kwh"
"7PM",2014-05-28,"среда","1.555kwh"
"12PM",2014-02-22,"суббота","0.655kwh"
"4AM",2014-01-14,"вторник","0.328kwh"
"9AM",2014-10-25,"суббота","0.535kwh"
"9PM",2014-06-19,"четверг","0.972kwh"
"12PM",2014-12-10,"среда","0.638kwh"
"12PM",2014-01-01,"среда","40.80kwh"
"5AM",2014-10-12,"воскресенье","0.189kwh"
"10AM",2014-03-11,"вторник","0.304kwh"
"4PM",2014-03-29,"суббота","0.749kwh"
"2PM",2014-09-23,"вторник","0.294kwh"
"12AM",2014-03-13,"четверг","0.257kwh"
"3PM",2014-05-29,"четверг","0.355kwh"
"7AM",2014-02-06,"четверг","1.274kwh"
"6AM",2014-07-25,"пятница","2.678kwh"
"9AM",2014-02-26,"среда","0.295kwh"
"2PM",2014-10-27,"понедельник","0.199kwh"
"4AM",2014-06-11,"среда","0.432kwh"
"9AM",2014-04-18,"пятница","0.097kwh"
"10PM",2014-07-31,"четверг","1.392kwh"
"11AM",2014-03-11,"вторник","0.368kwh"
"7AM",2014-02-15,"суббота","1.555kwh"
"6AM",2014-12-17,"среда","1.254kwh"
"2AM",2014-07-02,"среда","40.49kwh"
"11AM",2014-07-11,"пятница","1.068kwh"
"5PM",2014-12-30,"вторник","1.559kwh"
"9PM",2014-04-27,"воскресенье","0.148kwh"
"8PM",2014-03-29,"суббота","1.685kwh"
"11AM",2014-10-23,"четверг","0.303kwh"
"12AM",2014-07-19,"суббота","42.17kwh"
"7PM",2014-12-15,"понедельник","1.881kwh"
"3PM",2014-12-21,"воскресенье","40.96kwh"
"7AM",2014-07-30,"среда","1.944kwh"
"8AM",2014-09-23,"вторник","0.227kwh"
"6PM",2014-08-20,"среда","2.016kwh"
"11AM",2014-07-22,"вторник","1.428kwh"
"5AM",2014-08-02,"суббота","40.40kwh"
"7AM",2014-09-27,"суббота","0.991kwh"
"4PM",2014-06-21,"суббота","1.685kwh"
"1PM",2014-01-23,"четверг","0.648kwh"
"10AM",2014-11-15,"суббота","0.297kwh"
"12PM",2014-08-31,"воскресенье","0.662kwh"
"9AM",2014-11-23,"воскресенье","0.324kwh"
"1AM",2014-06-30,"понедельник","40.36kwh"
"12AM",2014-05-29,"четверг","0.278kwh"
"2PM",2014-11-18,"вторник","0.198kwh"
"2PM",2014-01-24,"пятница","0.824kwh"
"1AM",2014-11-30,"воскресенье","0.119kwh"
"5AM",2014-12-20,"суббота","40.30kwh"
"4AM",2014-01-31,"пятница","0.388kwh"
"4PM",2014-06-18,"среда","0.749kwh"
"2PM",2014-06-22,"воскресенье","1.238kwh"
"8PM",2014-05-30,"пятница","1.101kwh"
"4PM",2014-03-01,"суббота","0.792kwh"
"1PM",2014-12-04,"четверг","0.502kwh"
"2PM",2014-02-23,"воскресенье","40.95kwh"
"7AM",2014-05-21,"среда","0.828kwh"
"8PM",2014-09-10,"среда","1.344kwh"
"3PM",2014-03-21,"пятница","0.317kwh"
"11PM",2014-10-12,"воскресенье","0.288kwh"
"3PM",2014-07-30,"среда","1.133kwh"
"12PM",2014-09-19,"пятница","0.378kwh"
"9AM",2014-12-16,"вторник","0.396kwh"
"10AM",2014-09-14,"воскресенье","0.365kwh"
"5AM",2014-08-25,"понедельник","1.148kwh"
"6AM",2014-01-30,"четверг","2.856kwh"
"9PM",2014-02-21,"пятница","0.466kwh"
"7AM",2014-01-10,"пятница","2.142kwh"
"11PM",2014-12-05,"пятница","41.21kwh"
"6PM",2014-03-14,"пятница","1.322kwh"
"6AM",2014-04-26,"суббота","0.252kwh"
"12AM",2014-09-27,"суббота","0.577kwh"
"12PM",2014-08-22,"пятница","0.618kwh"
"8PM",2014-01-04,"суббота","3.492kwh"
"7PM",2014-03-30,"воскресенье","1.282kwh"
"3AM",2014-12-20,"суббота","0.307kwh"
"5PM",2014-05-28,"среда","0.946kwh"
"5PM",2014-09-11,"четверг","1.083kwh"
"4PM",2014-10-12,"воскресенье","0.572kwh"
"1PM",2014-03-29,"суббота","0.509kwh"
"8AM",2014-03-17,"понедельник","0.358kwh"
"3AM",2014-11-23,"воскресенье","0.147kwh"
"10AM",2014-07-20,"воскресенье","1.224kwh"
"5AM",2014-06-22,"воскресенье","0.632kwh"
"6AM",2014-09-16,"вторник","0.773kwh"
"12AM",2014-06-09,"понедельник","0.556kwh"
"7PM",2014-03-20,"четверг","1.512kwh"
"7PM",2014-06-22,"воскресенье","2.592kwh"
"5PM",2014-07-26,"суббота","1.771kwh"
"3AM",2014-03-10,"понедельник","0.189kwh"
"8PM",2014-06-04,"среда","2.938kwh"
"11PM",2014-12-25,"четверг","0.523kwh"
"9PM",2014-06-01,"воскресенье","40.95kwh"
"1PM",2014-10-03,"пятница","0.271kwh"
"1PM",2014-10-24,"пятница","0.197kwh"
"6PM",2014-08-15,"пятница","1.445kwh"
"5AM",2014-12-30,"вторник","1.125kwh"
"4PM",2014-11-17,"понедельник","0.189kwh"
"11AM",2014-07-16,"среда","1.428kwh"
"3AM",2014-09-24,"среда","0.161kwh"
"11AM",2014-04-10,"четверг","0.158kwh"
"8AM",2014-08-26,"вторник","0.547kwh"
"6PM",2014-07-15,"вторник","43.73kwh"
"2PM",2014-08-31,"воскресенье","0.864kwh"
"4AM",2014-09-16,"вторник","0.157kwh"
"6PM",2014-08-30,"суббота","2.311kwh"
"5AM",2014-09-07,"воскресенье","0.185kwh"
"7AM",2014-10-29,"среда","0.605kwh"
"12PM",2014-03-18,"вторник","0.364kwh"
"3PM",2014-06-14,"суббота","1.409kwh"
"7AM",2014-06-24,"вторник","1.895kwh"
"4AM",2014-12-01,"понедельник","0.191kwh"
"8PM",2014-09-29,"понедельник","1.187kwh"
"1AM",2014-11-06,"четверг","0.103kwh"
"1PM",2014-07-28,"понедельник","0.979kwh"
"7AM",2014-06-20,"пятница","1.636kwh"
"10AM",2014-01-27,"понедельник","0.656kwh"
"9AM",2014-01-27,"понедельник","40.57kwh"
"5AM",2014-08-04,"понедельник","1.386kwh"
"7AM",2014-09-12,"пятница","0.731kwh"
"12AM",2014-11-12,"среда","0.131kwh"
"7AM",2014-12-26,"пятница","1.119kwh"
"5PM",2014-01-26,"воскресенье","1.584kwh"
"7PM",2014-08-15,"пятница","2.246kwh"
"5AM",2014-05-20,"вторник","0.836kwh"
"4PM",2014-07-30,"среда","0.912kwh"
"9PM",2014-09-13,"суббота","0.288kwh"
"12PM",2014-11-17,"понедельник","0.207kwh"
"9AM",2014-02-27,"четверг","0.306kwh"
"1PM",2014-05-31,"суббота","0.528kwh"
"7AM",2014-05-25,"воскресенье","0.768kwh"
"2AM",2014-06-17,"вторник","0.364kwh"
"6AM",2014-11-19,"среда","0.437kwh"
"1PM",2014-10-11,"суббота","0.346kwh"
"12PM",2014-11-06,"четверг","0.203kwh"
"2AM",2014-03-18,"вторник","0.163kwh"
"9PM",2014-10-21,"вторник","0.328kwh"
"4PM",2014-09-21,"воскресенье","0.662kwh"
"4PM",2014-10-16,"четверг","0.262kwh"
"5AM",2014-05-27,"вторник","40.88kwh"
"11PM",2014-12-17,"среда","0.638kwh"
"9AM",2014-02-11,"вторник","0.389kwh"
"7AM",2014-09-23,"вторник","0.706kwh"
"5AM",2014-07-21,"понедельник","2.534kwh"
"1PM",2014-05-21,"среда","40.33kwh"
"7AM",2014-11-19,"среда","0.401kwh"
"7AM",2014-10-17,"пятница","0.578kwh"
"12PM",2014-12-06,"суббота","40.66kwh"
"6AM",2014-08-15,"пятница","1.267kwh"
"10PM",2014-11-10,"понедельник","0.254kwh"
"4AM",2014-10-17,"пятница","0.104kwh"
"2PM",2014-05-27,"вторник","0.362kwh"
"4AM",2014-08-29,"пятница","0.194kwh"
"9PM",2014-06-10,"вторник","1.058kwh"
"5AM",2014-06-20,"пятница","41.94kwh"
"6PM",2014-10-24,"пятница","0.823kwh"
"11AM",2014-06-16,"понедельник","0.774kwh"
"6PM",2014-05-24,"суббота","41.31kwh"
"7AM",2014-12-23,"вторник","0.931kwh"
"5PM",2014-11-07,"пятница","0.544kwh"
"2AM",2014-09-28,"воскресенье","0.168kwh"
"3AM",2014-08-10,"воскресенье","0.328kwh"
"5PM",2014-04-15,"вторник","0.425kwh"
"1PM",2014-11-23,"воскресенье","0.254kwh"
"12AM",2014-09-29,"понедельник","0.204kwh"
"12AM",2014-11-19,"среда","0.122kwh"
"6PM",2014-11-04,"вторник","0.662kwh"
"1PM",2014-09-10,"среда","0.328kwh"
"3PM",2014-04-24,"четверг","0.098kwh"
"4AM",2014-10-24,"пятница","0.134kwh"
"7PM",2014-12-30,"вторник","2.138kwh"
"11PM",2014-11-26,"среда","0.198kwh"
"5AM",2014-01-27,"понедельник","41.98kwh"
"5AM",2014-06-05,"четверг","41.96kwh"
"4PM",2014-02-20,"четверг","0.461kwh"
"6AM",2014-06-19,"четверг","2.268kwh"
"2AM",2014-07-29,"вторник","0.509kwh"
"1AM",2014-06-17,"вторник","0.389kwh"
"10AM",2014-11-08,"суббота","0.273kwh"
"2PM",2014-05-11,"воскресенье","0.736kwh"
"3PM",2014-10-15,"среда","0.218kwh"
"12AM",2014-06-26,"четверг","40.47kwh"
"11PM",2014-05-27,"вторник","0.356kwh"
"8AM",2014-10-03,"пятница","40.25kwh"
"2AM",2014-04-23,"среда","40.05kwh"
"1AM",2014-08-14,"четверг","0.202kwh"
"3PM",2014-07-04,"пятница","0.922kwh"
"11AM",2014-01-10,"пятница","40.91kwh"
"7AM",2014-05-05,"понедельник","0.706kwh"
"11AM",2014-06-08,"воскресенье","1.015kwh"
"5PM",2014-10-24,"пятница","0.881kwh"
"10PM",2014-09-29,"понедельник","0.298kwh"
"8PM",2014-08-13,"среда","41.92kwh"
"2PM",2014-02-10,"понедельник","0.566kwh"
"4PM",2014-01-20,"понедельник","0.808kwh"
"1AM",2014-04-13,"воскресенье","0.087kwh"
"5PM",2014-08-23,"суббота","0.961kwh"
"11AM",2014-08-28,"четверг","0.648kwh"
"9AM",2014-08-31,"воскресенье","1.253kwh"
"4PM",2014-05-25,"воскресенье","0.857kwh"
"2PM",2014-08-10,"воскресенье","0.768kwh"
"1PM",2014-10-13,"понедельник","40.24kwh"
"10AM",2014-10-27,"понедельник","0.226kwh"
"8PM",2014-11-17,"понедельник","0.857kwh"
"5PM",2014-05-31,"суббота","40.67kwh"
"8PM",2014-09-24,"среда","1.064kwh"
"11PM",2014-03-18,"вторник","0.376kwh"
"4AM",2014-05-12,"понедельник","0.189kwh"
"7AM",2014-07-17,"четверг","1.987kwh"
"2AM",2014-08-24,"воскресенье","0.313kwh"
"9PM",2014-05-01,"четверг","0.422kwh"
"11AM",2014-06-20,"пятница","0.747kwh"
"3AM",2014-08-28,"четверг","0.221kwh"
"4PM",2014-07-24,"четверг","1.142kwh"
"4AM",2014-10-27,"понедельник","0.136kwh"
"5AM",2014-02-23,"воскресенье","40.41kwh"
"8AM",2014-06-18,"среда","40.59kwh"
"1PM",2014-11-18,"вторник","0.184kwh"
"11PM",2014-09-18,"четверг","0.354kwh"
"2AM",2014-09-26,"пятница","0.153kwh"
"2PM",2014-03-04,"вторник","0.301kwh"
"6PM",2014-01-20,"понедельник","3.052kwh"
"4PM",2014-03-23,"воскресенье","40.77kwh"
"5PM",2014-05-21,"среда","1.102kwh"
"2PM",2014-03-21,"пятница","0.266kwh"
"3PM",2014-02-14,"пятница","0.523kwh"
"4PM",2014-04-21,"понедельник","0.102kwh"
"2PM",2014-03-31,"понедельник","0.262kwh"
"10AM",2014-10-12,"воскресенье","0.346kwh"
"2PM",2014-09-05,"пятница","0.319kwh"
"4PM",2014-04-13,"воскресенье","0.321kwh"
"6AM",2014-11-28,"пятница","0.545kwh"
"3AM",2014-06-11,"среда","0.331kwh"
"11PM",2014-04-21,"понедельник","0.122kwh"
"12AM",2014-07-15,"вторник","0.785kwh"
"12PM",2014-11-11,"вторник","0.248kwh"
"3AM",2014-07-18,"пятница","0.432kwh"
"11PM",2014-08-03,"воскресенье","0.618kwh"
"3AM",2014-09-17,"среда","0.113kwh"
"5AM",2014-09-20,"суббота","0.248kwh"
"4AM",2014-08-17,"воскресенье","0.288kwh"
"4AM",2014-05-11,"воскресенье","0.228kwh"
"6AM",2014-10-31,"пятница","0.742kwh"
"12AM",2014-09-04,"четверг","0.168kwh"
"12PM",2014-08-12,"вторник","0.546kwh"
"10AM",2014-01-07,"вторник","0.672kwh"
"1AM",2014-09-11,"четверг","0.112kwh"
"6AM",2014-09-17,"среда","0.781kwh"
"3PM",2014-04-21,"понедельник","0.136kwh"
"9AM",2014-09-15,"понедельник","0.221kwh"
"6AM",2014-06-09,"понедельник","1.944kwh"
"4PM",2014-12-17,"среда","0.524kwh"
"8AM",2014-06-19,"четверг","0.821kwh"
"3AM",2014-10-03,"пятница","0.131kwh"
"8PM",2014-07-14,"понедельник","3.456kwh"
"8PM",2014-04-19,"суббота","0.497kwh"
"8PM",2014-06-02,"понедельник","2.333kwh"
"10AM",2014-04-24,"четверг","0.098kwh"
"2AM",2014-02-12,"среда","0.257kwh"
"8AM",2014-04-09,"среда","0.132kwh"
"3PM",2014-11-16,"воскресенье","0.462kwh"
"8AM",2014-08-16,"суббота","41.31kwh"
"4PM",2014-07-10,"четверг","0.797kwh"
"3PM",2014-10-31,"пятница","0.242kwh"
"10PM",2014-03-31,"понедельник","0.364kwh"
"1PM",2014-11-12,"среда","0.189kwh"
"3PM",2014-02-20,"четверг","0.499kwh"
"11PM",2014-01-30,"четверг","40.85kwh"
"10AM",2014-12-14,"воскресенье","0.581kwh"
"8AM",2014-06-05,"четверг","0.626kwh"
"3PM",2014-01-16,"четверг","0.816kwh"
"9AM",2014-01-05,"воскресенье","1.692kwh"
